rev_id	needs_review	reason
14941486	True	NULL
15692416	True	NULL
13834136	False	trusted group
15623134	False	trusted group
15543938	True	NULL
14830330	True	NULL
13814581	True	NULL
13855162	True	NULL
14175083	True	NULL
15482177	False	trusted edits
14265586	False	trusted edits
14278711	False	trusted edits
14205059	True	NULL
14808344	False	trusted edits
14864069	True	NULL
15251537	False	trusted edits
14759095	False	trusted edits
14339688	False	trusted edits
15063637	False	trusted edits
13679975	False	trusted edits
15704590	False	trusted edits
14887184	True	NULL
13755088	False	trusted group
14760905	False	trusted edits
13956250	True	NULL
14096005	True	NULL
14586873	False	trusted edits
13850232	True	NULL
13679903	True	reverted edit
14585378	False	trusted edits
14621156	True	NULL
15605686	False	trusted group
13965533	True	NULL
15556291	False	trusted edits
14492642	False	trusted edits
13762784	False	trusted group
14910408	True	NULL
13742315	True	NULL
15689806	False	trusted group
15309934	False	trusted edits
15253503	False	trusted edits
14220997	False	trusted group
14234713	True	NULL
13840599	True	reverted edit
14638597	False	trusted edits
14084501	False	trusted group
14844493	False	trusted edits
13849909	True	NULL
13967501	True	NULL
14243665	True	NULL
14011424	False	trusted edits
14553908	False	trusted edits
14930970	True	NULL
14866068	True	NULL
14375741	True	NULL
13924519	False	trusted group
14545288	False	trusted edits
15001889	False	trusted group
13993087	True	NULL
13704309	False	trusted edits
13935217	False	trusted group
15095837	False	trusted edits
13855551	True	NULL
14235990	True	NULL
14289076	False	trusted edits
14577674	False	trusted edits
14184823	True	NULL
14944442	True	NULL
15142445	True	NULL
13729476	True	NULL
13711410	False	trusted group
13968355	True	NULL
13686102	True	NULL
15241316	False	trusted edits
14608580	False	trusted edits
14777997	False	trusted edits
14558128	False	trusted edits
14414100	True	blocked user
13728310	True	blocked user
14468382	False	trusted edits
13937102	False	trusted group
13946006	True	reverted edit
14965112	True	NULL
14458454	False	trusted edits
14966105	False	trusted group
13969300	True	reverted edit
15006627	True	NULL
14075962	True	NULL
14718869	True	NULL
13902704	False	trusted group
15109591	False	trusted edits
14655565	False	trusted edits
14915720	True	NULL
13731930	True	NULL
14947800	True	NULL
13816610	True	NULL
15344724	False	trusted group
14114307	True	NULL
14565353	True	NULL
14145198	False	trusted edits
14197693	True	NULL
14888169	True	NULL
14165059	True	NULL
14181017	True	NULL
14185411	True	NULL
14289692	False	trusted edits
15108256	False	trusted edits
13940637	False	trusted group
13718425	True	NULL
13949043	True	NULL
15686029	True	reverted edit
15643551	False	trusted group
13797580	True	NULL
15182288	False	trusted edits
14460634	False	trusted edits
13689315	True	NULL
14140667	False	trusted edits
15322588	False	trusted edits
14956043	True	blocked user
14820417	True	reverted edit
14724782	True	NULL
14497930	False	trusted edits
14033884	True	NULL
15188395	False	trusted edits
14000293	True	reverted edit
13982548	False	trusted group
14127681	False	trusted edits
14391365	False	trusted edits
13776806	False	trusted group
13985705	True	NULL
13710694	False	trusted group
15560936	True	NULL
14356076	False	trusted edits
15492480	False	trusted edits
13811533	True	NULL
15027675	False	trusted edits
15659144	True	blocked user
14052090	True	reverted edit
13803528	False	trusted edits
14718237	False	trusted group
15240103	False	trusted edits
14091480	False	trusted group
14779560	False	trusted edits
14149596	False	trusted edits
14601021	False	trusted edits
14206041	True	NULL
15694179	True	reverted edit
14572073	True	reverted edit
14160699	True	NULL
15322387	False	trusted group
14233371	True	NULL
14299164	False	trusted edits
13713420	True	NULL
15676555	True	NULL
13955076	True	NULL
14430899	True	reverted edit
13923935	False	trusted group
14690533	False	trusted edits
14021677	True	NULL
15139536	True	reverted edit
15307751	False	trusted edits
14790945	False	trusted edits
14132683	True	NULL
15204874	False	trusted edits
15312382	False	trusted edits
15324007	True	reverted edit
14047830	True	reverted edit
13777998	False	trusted group
13983059	True	NULL
14438664	True	NULL
13929062	False	trusted group
13704587	True	NULL
14957094	False	trusted edits
13840878	True	NULL
14517716	False	trusted edits
14516474	False	trusted edits
14095576	True	NULL
13963294	True	NULL
13813450	True	reverted edit
14800598	False	trusted edits
14861371	True	NULL
14054652	True	reverted edit
15027249	False	trusted edits
15657257	True	NULL
15438722	False	trusted edits
13767293	False	trusted group
14262951	False	trusted edits
15550856	False	trusted group
13840807	True	reverted edit
15292258	False	trusted edits
13687556	True	NULL
13689739	True	NULL
15277482	False	trusted edits
14081229	True	NULL
13676285	True	reverted edit
14175319	True	reverted edit
13828876	True	NULL
15499139	False	trusted edits
14175919	False	trusted group
15366316	True	reverted edit
15492351	False	trusted edits
14666608	False	trusted edits
14014025	False	trusted group
15605550	False	trusted group
15586236	False	trusted group
15366739	False	trusted group
13957427	True	NULL
14855908	False	trusted group
14040156	True	NULL
13755451	True	NULL
14026108	True	NULL
14571088	True	NULL
13835958	False	trusted group
15477633	False	trusted edits
14839415	False	trusted edits
15460425	False	trusted edits
13669770	True	NULL
14164607	True	NULL
15693543	True	NULL
15530246	False	trusted group
14575652	True	NULL
14178866	False	trusted edits
14682819	False	trusted edits
14005023	True	NULL
15149331	False	trusted edits
13711890	True	reverted edit
15516717	True	NULL
13724763	True	NULL
13682295	True	NULL
15223975	False	trusted edits
14120868	False	trusted edits
13985719	True	NULL
13812020	True	reverted edit
13741038	True	NULL
14066415	True	NULL
14977463	True	NULL
14940812	True	NULL
15707100	False	trusted edits
13855468	True	NULL
14691473	False	trusted group
13743483	True	NULL
14749519	False	trusted edits
14454437	False	trusted edits
14680487	False	trusted edits
14784638	False	trusted edits
15083435	False	trusted edits
14452197	False	trusted edits
15685163	True	NULL
13821843	True	NULL
13869017	True	NULL
14819356	True	reverted edit
14876027	True	NULL
